[23-Dec-2025 10:00:04 Europe/Istanbul] PHP Warning:  Undefined array key "balance" in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[23-Dec-2025 10:00:04 Europe/Istanbul] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[24-Dec-2025 00:00:04 Europe/Istanbul] PHP Warning:  Undefined array key "balance" in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[24-Dec-2025 00:00:04 Europe/Istanbul] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[25-Dec-2025 00:00:04 Europe/Istanbul] PHP Warning:  Undefined array key "balance" in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[25-Dec-2025 00:00:04 Europe/Istanbul] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[26-Dec-2025 00:00:03 Europe/Istanbul] PHP Warning:  Undefined array key "balance" in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[26-Dec-2025 00:00:03 Europe/Istanbul] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[27-Dec-2025 00:00:05 Europe/Istanbul] PHP Warning:  Undefined array key "balance" in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[27-Dec-2025 00:00:05 Europe/Istanbul] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[28-Dec-2025 00:00:04 Europe/Istanbul] PHP Warning:  Undefined array key "balance" in /home/u2461468/public_html/cron/daily_earnings.php on line 108
[28-Dec-2025 00:00:04 Europe/Istanbul] PHP Deprecated:  number_format(): Passing null to parameter #1 ($num) of type float is deprecated in /home/u2461468/public_html/cron/daily_earnings.php on line 108
